"HPCA","BlueprintEncode","cluster","refs_agree","cell_type_final"
"Tissue_stem_cells","Skeletal muscle","0",FALSE,"Tissue_stem_cells"
"Monocyte","Monocytes","1",FALSE,"Monocyte"
"Fibroblasts","Astrocytes","2",FALSE,"Fibroblasts"
"Tissue_stem_cells","Fibroblasts","3",FALSE,"Tissue_stem_cells"
"Fibroblasts","Astrocytes","4",FALSE,"Fibroblasts"
"Tissue_stem_cells","Adipocytes","5",FALSE,"Tissue_stem_cells"
"Tissue_stem_cells","Adipocytes","6",FALSE,"Tissue_stem_cells"
"NK_cell","CD8+ T-cells","7",FALSE,"NK_cell"
"Fibroblasts","Astrocytes","8",FALSE,"Fibroblasts"
