"Factor","KPC-2","NDM-1","NDM-5","OXA-181","None","Total"
"None detected","2","6","4","–","10","22"
"*sul2*","8","–","7","–","–","15"
"*sul1*;*sul2*","–","8","2","–","1","11"
"*sul1*","3","3","2","–","2","10"
"*sul2*;*sul3*","–","–","3","1","–","4"
"*sul1*;*sul2*;*sul3*","–","1","2","–","–","3"
"*sul3*","–","–","2","–","–","2"
