"Factor","KPC-2","NDM-1","NDM-5","OXA-181","None","Total"
"Urinary catheterization","9 (69.2)","16 (88.9)","16 (72.7)","1 (100.0)","12 (92.3)","54 (80.6)"
"Endotracheal intubation","12 (92.3)","18 (100.0)","21 (95.5)","1 (100.0)","13 (100.0)","65 (97.0)"
"Gastric tube","11 (84.6)","14 (77.8)","20 (90.9)","1 (100.0)","12 (92.3)","58 (86.6)"
"Low albumin level (≤35 g/L)","10 (76.9)","16 (88.9)","17 (77.3)","1 (100.0)","10 (76.9)","54 (80.6)"
"Hospital stay >7 days","10 (76.9)","14 (77.8)","21 (95.5)","1 (100.0)","12 (92.3)","58 (86.6)"
