"Factor","KPC-2","NDM-1","NDM-5","OXA-181","None","Total"
"Diabetes","9 (69.2)","18 (100.0)","20 (90.9)","1 (100.0)","13 (100.0)","61 (91.0)"
"Cerebrovascular disease","10 (76.9)","14 (77.8)","18 (81.8)","1 (100.0)","12 (92.3)","55 (82.1)"
"Pulmonary disease","10 (76.9)","13 (72.2)","17 (77.3)","1 (100.0)","11 (84.6)","52 (77.6)"
