"cluster","gene","avg_log2FC","pct_in","pct_out","p_val","p_val_adj","auc"
"0","S100A8",2.57114501082826,100,63.9491471657597,0,0,0.735969162896736
"0","CST3",2.52485561930579,99.9606144151241,49.5644322978941,0,0,0.903658542750274
"0","LYZ",2.48465642871758,100,54.4667040823796,0,0,0.865312587484345
"0","S100A9",2.36581431809664,100,60.576852687831,0,0,0.713618259142156
"0","AREG",1.97874702520076,82.9854273335959,5.85393231009492,0,0,0.894956662449718
"0","S100A12",1.8038616392696,97.8928712091375,43.8983919377272,0,0,0.776071955419374
"0","AIF1",1.72005418981259,99.8030720756203,47.7343159024914,0,0,0.797910210342627
"0","SAP30",1.71129604988755,92.2410397794407,20.267929040287,0,0,0.91551592381945
"0","TYROBP",1.67512272251711,99.980307207562,63.2829847978331,0,0,0.797449944598674
"0","SAT1",1.65758511039584,99.7833792831824,64.2395256338303,0,0,0.845376565201221
"1","IL7R",2.00961646406965,87.9484079000403,13.0179818478234,0,0,0.885219575727374
"1","LTB",1.85749476961588,88.553002821443,21.2156605104995,0,0,0.872288146023362
"1","CD3E",1.80862164860072,96.21120515921,25.9167335815266,0,0,0.847547681576026
"1","IFITM1",1.63475207136438,97.8033051189037,46.1931527848748,0,0,0.754639315051539
"1","LDHB",1.60035018435216,93.3494558645707,44.7502250772562,0,0,0.895960427065245
"1","RPS5",1.41605957678398,99.093107617896,85.8748813782028,0,0,0.914706625942731
"1","RPL3",1.33396117039497,99.3550987505038,88.3714139718228,0,0,0.898227296364946
"1","RPL5",1.31299380689464,98.931882305522,87.8458281626396,0,0,0.920564313210406
"1","IL32",1.290849523846,86.4973800886739,28.6687592768329,0,0,0.740620059754423
"1","EEF1B2",1.24756519472412,97.9443772672309,81.0716110665012,0,0,0.870448888448331
"10","S100A8",3.74679397549206,98.6102719033233,66.7800198180344,0,0,0.917376431888366
"10","LTF",3.22157376507993,75.8308157099698,1.20935050896316,0,0,0.877274331726463
"10","LCN2",3.19343633787074,76.9184290030211,1.67102062877218,0,0,0.882142248691022
"10","S100A9",3.01703611490649,96.797583081571,63.7352490766598,0,0,0.871939539754591
"10","RETN",2.89765006838105,88.3987915407855,37.5912079992793,0,0,0.899959000454764
"10","DEFA3",2.85864431952461,52.9305135951662,3.22043059183857,0,0,0.756082336285536
"10","PGLYRP1",2.67090797775842,75.0453172205438,1.60796324655436,0,0,0.870883696006266
"10","CAMP",2.61692453411913,63.6858006042296,1.98630753986127,0,0,0.813969115218111
"10","S100P",1.82586833337598,66.2839879154079,4.12125033780741,0,0,0.820953230581823
"10","CD24",1.67445028501799,62.5981873111782,1.66651653004234,0,0,0.809003346368458
"11","HLA-DRA",2.69744014776199,98.5896574882472,52.3962306484182,0,0,0.967314392750487
"11","CD74",2.67176213474728,99.8656816655473,85.7190935606911,0,0,0.98242723205534
"11","MS4A1",2.58956322176508,94.2243116185359,0.753870316356293,0,0,0.970260724333543
"11","CD79A",2.48861812797882,93.8885157824043,0.708997083239847,0,0,0.968606894053513
"11","HLA-DPA1",1.91226942282574,96.70920080591,53.2936953107471,0,0,0.918618639750361
"11","HLA-DQB1",1.81141950456652,90.530557421088,26.4617455687682,0,0,0.907553394702276
"11","HLA-DRB1",1.76916807422827,96.70920080591,59.6567197666592,0,0,0.888086977826927
"11","CD37",1.75589576403374,98.0523841504365,75.1581781467355,0,0,0.950389694947904
"11","HLA-DPB1",1.70072620711567,94.7615849563465,49.9349338119812,0,0,0.889746549108239
"11","LTB",1.55443640133617,80.5238415043654,26.7309849674669,0,0,0.803848128365775
"12","S100A8",3.71113817689908,99.9181669394435,67.0517652831367,0,0,0.916137119262364
"12","S100A9",3.19747355329484,99.8363338788871,63.971719784999,0,0,0.894112086015002
"12","IFITM2",2.68756500635202,99.0180032733224,83.2705131922296,0,0,0.970573142059908
"12","S100A12",2.60774417897149,86.9885433715221,48.8391283984209,0,0,0.829620728029337
"12","GCA",2.09170941258894,87.0703764320786,39.3179739946919,0,0,0.892006194688037
"12","CSF3R",2.04922091122372,84.7790507364975,37.0452974106207,0,0,0.871032669819434
"12","NAMPT",2.02311900867144,73.240589198036,17.0684925396436,0,0,0.839837495387457
"12","SLC25A37",1.90865363322279,71.7675941080196,22.2584026585186,0,0,0.820564730065883
"12","S100A11",1.8947172947713,98.3633387888707,82.6036532328211,0,0,0.924080065684003
"12","FCGR3B",1.83170873082939,63.911620294599,1.45192586479916,0,0,0.816435972278127
"13","GNLY",1.94128285335893,86.4527629233512,20.6644858357256,0,0,0.791419405269973
"13","NKG7",1.57451836166448,88.9483065953654,36.0104145804126,1.18148287628687e-172,2.15276920812889e-169,0.712153907925046
"13","S100A9",1.37606337312191,95.0980392156863,64.169837772882,1.00176921368815e-18,2.07636611685126e-17,0.575404169521228
"13","CCL5",1.24249446705627,82.620320855615,33.1530809800387,7.06527907941982e-140,1.0893029891447e-136,0.686034353819253
"13","DEFA3",1.16065316006661,45.9001782531194,3.98557981173643,0,0,0.709488560276723
"13","S100A8",1.14268383101077,96.524064171123,67.2096490642455,5.73654462146705e-07,2.84316428902236e-06,0.54289881849642
"13","LYZ",0.921986696457786,90.4634581105169,58.7133097447538,2.65163135212532e-10,2.04984350127894e-09,0.55326023475845
"13","TPT1",0.917326135529445,98.1283422459893,94.398825021697,0,0,0.846388796563158
