step,X,Y
471,958,555
472,990,555
473,1012,556
474,1023,557
475,1023,557
476,1027,558
477,1050,558
478,1058,554
479,1077,551
480,1087,551
481,1103,551
482,1122,551
483,1146,548
484,1167,544
485,1191,541
486,1198,535
487,1198,528
488,1200,519
489,1198,513
490,1194,505
491,1170,495
492,1162,494
493,1138,488
494,1115,486
495,1072,492
496,1035,509
497,1017,527
498,1012,543
499,990,554
500,972,564
501,963,572
502,952,587
503,948,606
504,943,629
505,940,647
506,940,659
507,940,674
508,940,684
509,943,697
510,940,707
511,940,707
512,941,708
513,950,706
514,956,704
515,965,704
516,966,704
517,968,706
518,970,714
519,951,725
520,962,721
521,986,721
522,987,721
523,988,721
524,992,720
525,1006,720
526,1011,718
527,1020,718
528,1037,718
529,1048,718
530,1060,718
531,1073,718
532,1086,710
533,1087,710
534,1087,703
535,1087,695
536,1095,683
537,1096,681
538,1105,686
539,1112,691
540,1118,694
541,1127,697
542,1147,703
543,1157,701
544,1167,703
545,1171,708
546,1180,714
547,1182,718
548,1190,718
549,1191,718
550,1192,716
551,1193,711
552,1193,711
553,1193,711
554,1193,711
555,1193,711
556,1193,710
557,1193,710
558,1189,706
559,1173,701
560,1173,700
561,1175,699
562,1185,699
563,1192,701
564,1202,709
565,1202,714
566,1199,717
567,1173,720
568,1160,716
569,1158,716
570,1182,713
571,1182,713
572,1190,713
573,1213,719
574,1213,722
575,1213,724
576,1217,721
577,1218,715
578,1214,701
579,1214,693
580,1216,689
581,1221,688
582,1220,688
583,1199,694
584,1198,694
585,1185,704
586,1213,712
587,1222,711
588,1241,711
589,1243,712
590,1219,721
591,1202,720
592,1200,721
593,1200,721
594,1190,726
595,1189,726
596,1184,731
597,1182,730
598,1198,719
599,1200,714
600,1194,711
601,1169,714
602,1164,718
603,1163,721
604,1159,726
605,1219,713
606,1220,708
607,1221,698
608,1219,686
609,1220,679
610,1226,674
611,1227,673
612,1233,669
613,1243,664
614,1263,664
615,1275,663
616,1276,663
617,1263,662
618,1260,688
619,1263,699
620,1263,699
621,1266,696
622,1248,693
623,1247,694
624,1242,707
625,1234,716
626,1228,718
627,1218,721
628,1202,713
629,1201,711
630,1215,704
631,1221,700
632,1232,699
633,1233,699
634,1235,704
635,1235,714
636,1230,723
637,1224,725
638,1218,726
639,1200,721
640,1187,719
641,1180,719
642,1162,723
643,1154,724
644,1135,724
645,1134,721
646,1138,719
647,1163,716
648,1170,713
649,1183,710
650,1191,709
651,1208,712
652,1209,713
653,1210,717
654,1215,722
655,1215,722
656,1184,725
657,1184,725
658,1193,719
659,1210,721
660,1215,720
661,1230,721
662,1238,722
663,1240,722
664,1242,721
665,1243,718
666,1242,711
667,1239,706
668,1238,705
669,1233,703
670,1232,701
671,1232,700
672,1232,700
673,1232,700
674,1238,699
675,1238,699
676,1238,699
677,1238,699
678,1240,701
679,1241,700
680,1195,711
681,1183,711
682,1157,713
683,1129,711
684,1131,713
685,1175,719
686,1179,719
687,1190,722
688,1198,721
689,1213,723
690,1213,723
691,1217,724
692,1217,726
693,1167,730
694,1167,730
695,1167,730
696,1170,726
697,1175,723
698,1181,721
699,1201,721
700,1221,721
701,1223,721
702,1232,716
703,1235,711
704,1235,710
705,1236,709
706,1236,709
707,1237,709
708,1238,708
709,1238,708
710,1222,716
711,1209,717
712,1205,717
713,1202,718
714,1197,721
715,1187,722
716,1178,723
717,1178,723
718,1174,723
719,1169,720
720,1169,720
721,1169,719
722,1233,722
723,1237,720
724,1237,721
725,1237,721
726,1237,723
