"gene","Subject 1 - CSU v3","Subject 1 - CSU v6","Subject 2 - CSU v3","Subject 2 - CSU v6","Subject 3 - CSU v3","Subject 3 - CSU v6","Subject 4 - CSU v3","Subject 4 - CSU v6","Subject 1 - non-CSU","Subject 2 - non-CSU","Subject 3 - non-CSU","Subject 4 - non-CSU","Subject 5 - non CSU","Subject 6 - non CSU","Subject 5 - CSU v3","Subject 5 - CSU v6","Subject 6 - CSU v3","Subject 6 - CSU v6","Subject 7 - CSU v3","Subject 7 - CSU v6","Subject 8 - CSU v3"
"ENSG00000107581",10.16435,10.23052,10.07188,9.53084,10.23365,9.897518,10.3095,9.617452,9.397038,10.04467,8.760464,8.570984,10.1398,10.05225,10.42138,10.0705,10.09192,9.839237,10.0406,10.04389,9.93844
"ENSG00000107593",3.952254,3.922428,3.96795,3.496045,3.814566,5.120371,4.074176,3.996705,3.927876,3.765985,4.094015,4.151092,3.601596,4.085403,3.941691,3.915612,4.105874,4.019838,4.007224,4.38979,4.39403
"ENSG00000107614",7.910976,8.032602,8.553927,8.612503,7.779902,7.259908,7.661021,8.470421,7.66278,7.832429,7.462288,7.599382,9.462086,9.576589,8.919028,8.505106,8.247794,8.624297,8.905779,9.142922,8.909192
"ENSG00000107643",12.85781,12.43538,12.66792,12.33023,12.87843,13.11513,12.45804,12.79394,12.75988,12.91935,12.86378,12.67811,12.91975,13.55071,12.64163,12.67156,13.22677,13.192,12.86012,13.11228,13.31534
"ENSG00000107651",9.427888,9.130639,8.986928,8.834312,9.316104,9.175747,9.17177,8.864022,9.515285,9.687609,9.193418,9.271752,9.901998,10.21898,9.84928,9.965799,10.03345,9.910528,10.0159,9.928181,9.529894
"ENSG00000107669",10.68442,10.58382,10.95644,10.58383,10.86174,10.46926,10.7676,10.83974,10.60304,10.50735,10.35485,10.44398,11.48002,11.47684,11.83105,11.55322,11.63775,11.28033,11.33047,11.14831,11.21049
"ENSG00000107672",7.451692,7.531038,6.672481,6.835269,7.137554,6.215015,7.267147,7.000439,6.30493,6.382699,6.609331,7.586896,7.24544,6.510923,7.238542,6.031757,7.100994,6.585959,6.341281,5.289426,6.462731
"ENSG00000107719",5.214283,4.852651,5.378768,4.941227,4.825695,4.69731,5.073476,5.175529,5.18883,5.25635,5.070306,5.024122,6.318368,6.321467,6.62289,6.395727,6.311633,6.756006,6.382947,6.603854,6.771824
"ENSG00000107731",4.497477,3.869956,4.283511,4.223758,4.370849,4.268503,4.080401,3.870361,4.556068,4.255692,4.444288,4.501145,5.763594,5.907529,5.716738,5.747367,5.315705,5.459001,5.807418,5.756344,5.815128
"ENSG00000107736",3.753947,3.74718,4.206868,3.975127,3.761806,3.853205,3.957591,3.915756,3.974639,3.674099,3.826012,4.24309,5.152439,4.867241,5.328642,5.005836,5.330799,5.222778,5.294058,5.123084,4.850815
