"cluster","gene","avg_log2FC","pct_in","pct_out","p_val","p_val_adj","auc"
"0","2810417H13Rik",1.1582323265026,98.6493506493507,62.9472992670759,0,0,0.802542904548694
"0","Rrm2",1.01546974858409,96.7792207792208,53.5383604672648,0,0,0.830045339496981
"0","Mest",0.775358698644316,92.7965367965368,68.163994333696,0,0,0.694362772322492
"0","Dut",0.690375783180955,98.8225108225108,76.9837196411341,0,0,0.782412308311423
"0","Loxl2",0.64881135558328,76.5021645021645,33.0103266336817,0,0,0.737748891086467
"0","Ung",0.64156350128024,80.9004329004329,35.648442792913,0,0,0.754094437866225
"0","Hmgb2",0.59748256791707,99.9134199134199,91.8947217146729,9.57486027996752e-247,7.06073408827302e-245,0.634757545451257
"0","Tuba1b",0.594602693834406,99.9134199134199,94.7915169681168,0,0,0.720721704541122
"0","Gmnn",0.562008977007922,91.7575757575758,52.4913260383091,0,0,0.744663690959447
"0","Phgdh",0.535233769100087,97.5930735930736,81.3771582253793,0,0,0.711479429164046
"1","F3",0.977174880887203,69.6647928378097,35.1542843340512,0,0,0.739154234161776
"1","Fxyd3",0.937363098254921,82.948157401624,36.826955979147,0,0,0.791642404545581
"1","Igfbp5",0.847817382027162,99.6044139079742,93.7662285380729,0,0,0.762019753904154
"1","Perp",0.844582933621409,89.8605038517593,54.7875445341277,0,0,0.765994025015137
"1","Hspb1",0.777257811423882,76.4938580054133,43.360640888871,0,0,0.723460550265723
"1","H19",0.689497080389596,99.6252342286071,97.429600853445,0,0,0.753076610871887
"1","Anxa2",0.683718144125867,82.7399541952946,57.2653529518327,0,0,0.702127332112377
"1","Sfn",0.650902845236613,81.1367895065584,54.5359392926873,0,0,0.695385482970777
"1","Nnat",0.618543358426603,95.336248178222,91.0972001368732,0,0,0.702185389380123
"1","Ccnd2",0.606412282496722,95.5444513845513,89.1648718826111,0,0,0.680780563002575
"10","Arg1",1.27772837925586,78.6628146925299,13.7569389754327,0,0,0.861802208389103
"10","Peg3",1.02098289517749,91.2917870408584,59.3899464090202,0,0,0.810993818697538
"10","Meg3",0.988642621827504,94.0569541890219,66.1358790649431,0,0,0.750108195961081
"10","Ripply3",0.963698208190372,67.5196037969459,13.8260886268032,0,0,0.79647887657232
"10","Dlk1",0.924827635927332,72.0181593066447,22.9768924915004,0,0,0.771254526074499
"10","Hoxb1",0.902668239329681,63.9702847709451,5.24000691496514,0,0,0.803737267220333
"10","Hoxc4",0.70469469154647,64.6306231943871,5.02295384260771,0,0,0.801783937019879
"10","Crabp2",0.687421502131001,92.3648369789517,71.6832177637771,0,0,0.733471722744874
"10","Pbx1",0.67416298681466,95.5014444903013,75.1310962140566,0,0,0.768573340063324
"10","Smoc2",0.648729273910517,63.5575732562938,18.2324580780239,0,0,0.739276292470745
"11","F3",1.31683197849492,88.937664618086,35.982454124047,0,0,0.840955460365244
"11","2810417H13Rik",1.08243752504458,98.8586479367867,65.3296555951423,0,0,0.779349969596032
"11","Sulf1",0.855382489326163,89.5961369622476,47.4255832662912,0,0,0.807120220237805
"11","Hmgb2",0.832865154689615,100,92.4280734015247,0,0,0.740360046949821
"11","Top2a",0.824307900921591,90.9569798068481,45.9487415239628,0,0,0.759496753877401
"11","Nr2f2",0.72888322223621,96.2686567164179,65.0940504922806,0,0,0.755480508986534
"11","Tpm1",0.714372261164621,99.2098331870061,90.9416542159905,0,0,0.77064303105039
"11","Fxyd3",0.619481663024023,81.3432835820896,39.1276864728192,0,0,0.720563173336721
"11","Shh",0.618199008884993,66.198419666374,22.3978086809945,0,0,0.72947561488783
"11","Siva1",0.61465293098951,99.6049165935031,93.6022679385511,0,0,0.758024774852725
