"gene","Subject 1 - CSU v3","Subject 1 - CSU v6","Subject 2 - CSU v3","Subject 2 - CSU v6","Subject 3 - CSU v3","Subject 3 - CSU v6","Subject 4 - CSU v3","Subject 4 - CSU v6","Subject 1 - non-CSU","Subject 2 - non-CSU","Subject 3 - non-CSU","Subject 4 - non-CSU","Subject 5 - non CSU","Subject 6 - non CSU","Subject 5 - CSU v3","Subject 5 - CSU v6","Subject 6 - CSU v3","Subject 6 - CSU v6","Subject 7 - CSU v3","Subject 7 - CSU v6","Subject 8 - CSU v3"
"ENSG00000131469",16.4851,16.54001,16.34305,16.48912,16.36691,16.05449,16.45536,16.52091,16.57673,16.17198,16.47398,16.51564,16.15662,15.64685,16.08075,16.05955,16.01428,15.92895,15.88869,15.91841,15.92032
"ENSG00000131473",11.95345,11.56319,11.75905,11.58801,11.80625,11.51258,11.5805,11.6298,11.72104,11.9731,11.57466,12.08677,12.14719,12.34524,12.479,12.52715,12.24925,11.94648,12.38449,12.33283,12.28078
"ENSG00000131503",9.57674,9.752938,9.988779,9.837149,9.822848,9.306795,8.583467,9.053328,8.480798,9.505469,8.584998,8.222337,11.36323,11.73931,11.39224,11.3585,11.14529,11.12792,11.5895,11.67961,11.34242
"ENSG00000131504",10.18021,10.27037,10.60602,10.64555,10.6829,9.964189,9.518166,10.32209,9.864203,9.875719,10.33889,10.30255,11.18222,11.8305,11.65678,11.43482,11.14675,11.15799,11.26745,11.49388,11.4017
"ENSG00000131507",11.61024,11.19225,12.27545,12.08722,11.75035,11.81989,12.46938,12.09314,11.73588,12.12569,11.47626,11.52575,12.09656,11.97903,12.81722,12.83832,12.26634,12.20817,12.29265,12.30531,12.04505
"ENSG00000131508",11.84362,11.78354,12.16355,12.06874,12.05852,12.31943,12.39182,12.4733,12.54806,12.22893,12.38367,12.05788,11.8954,12.16479,12.23581,12.0802,12.16458,12.04595,12.15014,12.12995,11.96926
"ENSG00000131558",11.56114,11.40995,11.41059,11.36888,11.83077,11.77832,11.64386,11.87736,11.43143,11.34169,11.06117,11.22202,12.28851,12.46054,12.04674,11.88694,12.0647,12.0318,12.233,12.20533,12.2682
"ENSG00000131725",10.16888,10.03657,10.43367,10.47556,10.51437,10.16404,10.56903,10.22886,10.31559,10.31509,9.950958,9.941076,10.6825,10.93182,10.8519,10.50094,10.73576,10.75896,10.70221,10.7144,10.85566
"ENSG00000131732",12.56831,12.21699,12.40905,12.18347,12.71934,12.54544,12.7323,12.52525,12.55787,12.58132,12.8429,12.57884,11.74556,11.75491,11.74725,11.70866,11.86049,11.87747,11.94809,11.93719,12.03594
"ENSG00000131759",13.70681,13.45937,14.04257,13.97464,14.28054,13.81321,13.59803,13.66022,13.67858,13.97934,13.83752,13.96625,13.49439,13.90339,13.69384,13.59205,13.8096,13.71939,13.99066,13.76026,14.27017
