"sample","group","expr"
"CJI1.A.CD1.ET1.1","Control",10.3199284033535
"CJI2.B.CD1.ET2.1","Control",10.2885142984659
"CJI3.I.K5PP3W.ET1.1","Mutant",11.2513492875189
"CJI4.J.K5PP3W.ET2.1","Mutant",10.9387658934856
"CJI5.K.K5PP3W.Rap1.1","Mutant_Rap",10.6716727165972
"CJI6.L.K5PP3W.Rap2.1","Mutant_Rap",10.7029642684771
