"sample","group","library_size"
"BB7","TLE-HS",40722183
"CC7","TLE-HS",54735934
"EE6","TLE-HS",25235342
"s29","TLE-nonHS",29786701
"X15","TLE-nonHS",78893911
"s7","TLE-nonHS",73012405
