"status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"OK",0,44.6533742469048,0.140171081639621,"HES4",0
"OK",0,39.4956965291573,0.123944506627058,"MXRA8",0
"OK",0,41.8000354017655,0.131076241060198,"MMP23B",0
"OK",0,48.0905776798286,0.150913872513924,"KLHL21",0
"OK",0,63.9551857229637,0.20081070268383,"ERRFI1",0
"OK",0,48.484513241549,0.152186185890862,"SPSB1",0
"OK",0,40.863032940797,0.12824656006183,"FBLIM1",0
"OK",0,44.1916229035037,0.138684016758374,"HSPB7",0
"OK",0,38.4883025991869,0.120806546228818,"MINOS1",0
"OK",0,39.441516636837,0.123802626438519,"NBL1",0
"OK",0,46.0049517239024,0.144435281943021,"CDC42",0
"OK",0,126.472726990145,0.393828612071574,"C1QA",0
"OK",0,94.657824987383,0.29317164212733,"C1QC",0
"OK",0,78.2076535543867,0.245632034197586,"ID3",0
"OK",0,56.9011968894762,0.178661829749096,"CLIC4",0
"OK",0,73.8401462911786,0.23105475535499,"RUNX3",0
"OK",0,62.8404025608223,0.197334022360986,"STMN1",0
"OK",0,39.5225065260262,0.12367339031645,"CD52",0
"OK",0,76.5072708633699,0.239773322024489,"LAPTM5",0
"OK",0,44.9761021972341,0.141157664856243,"FABP3",0
"OK",0,75.5566023626353,0.237276452855913,"TINAGL1",0
"OK",0,62.1949794040655,0.195295315249141,"MARCKSL1",0
"OK",0,52.4056594342351,0.164551250262536,"SFPQ",0
"OK",0,55.5348683761365,0.174327090310641,"ZC3H12A",0
"OK",0,40.2826520134563,0.126230291689249,"RSPO1",0
"OK",0,40.1433525099406,0.12601091375239,"CAP1",0
"OK",0,38.8339566453033,0.121878146450223,"PLK3",0
"OK",0,45.2700818435843,0.142121859811475,"NASP",0
"OK",0,84.9691296819944,0.266845234114239,"JUN",0
"OK",0,59.5135315106839,0.186018306132308,"PDE4B",0
"OK",0,58.2001306348827,0.182756446783791,"GADD45A",0
"OK",0,83.4329527908692,0.261904217935054,"PTGER3",0
"OK",0,64.9572009791014,0.203960564840435,"NEXN",0
"OK",0,50.8714827419508,0.159459598450785,"ADGRL4",0
"OK",0,92.7847264896276,0.291432357255404,"CYR61",0
"OK",0,44.7872726516897,0.140591249598616,"LMO4",0
