sample,group
Bmal1601,KO_Young
Bmal1602,KO_Young
Bmal1621,KO_Young
Bmal1631,KO_Young
Bmal1632,KO_Young
Bmal1633,KO_Young
Bmal1634,WT_Young
Bmal1641,WT_Young
Bmal1642,WT_Young
Bmal1643,WT_Young
Bmal1644,WT_Young
Bmal1645,WT_Young
Bmal121,WT_Aged
Bmal122,WT_Aged
Bmal131,WT_Aged
Bmal132,WT_Aged
Bmal133,WT_Aged
Bmal171,WT_Aged
Bmal141,KO_Aged
Bmal142,KO_Aged
Bmal151,KO_Aged
Bmal191,KO_Aged
Bmal192,KO_Aged
Bmal193,KO_Aged
Bmal1211,KO_Aged
