"status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"OK",0,57.4721842159089,0.513791544002504,"TINAGL1",0
"OK",0,51.8567244595038,0.463300901285672,"PTGER3",0
"OK",0,39.6937793545054,0.354678728787981,"NEXN",0
"OK",0,39.3973687067551,0.352020817359169,"S100A10",0
"OK",0,46.7417725149148,0.417740059957484,"S100A4",0
"OK",0,47.9246861827038,0.42078134223282,"RPS27",0
"OK",0,49.8131160655984,0.444383258795285,"ACKR1",0
"OK",0,40.0787970097574,0.358016368322243,"ATP1B1",0
"OK",0,47.7387771116165,0.426476176850336,"CSRP1",0
"OK",0,49.1773182998589,0.439557067693027,"LMOD1",0
"OK",0,40.4547007563173,0.361444414209855,"CRIM1",0
"OK",0,45.4259171179497,0.405942931587332,"ACTG2",0
"OK",0,65.1457400293821,0.582419021973676,"FRZB",0
"OK",0,58.0355177943378,0.518568064303271,"CAVIN2",0
"OK",0,62.9021726719986,0.562378104264108,"DES",0
"OK",0,39.3190071802205,0.343562147624345,"PTMA",0
"OK",0,44.4646149033544,0.39734338654134,"EFHD1",0
"OK",0,51.9832546540573,0.464634593606867,"RAMP1",0
"OK",0,39.9867412303933,0.350400730429563,"RPL32",0
"OK",0,44.6870056662316,0.399080042961938,"RPL15",0
"OK",0,56.2734582644106,0.502566551385667,"MTRNR2L12",0
"OK",0,55.0713120574926,0.49220918520308,"MYLK",0
"OK",0,41.8855533988809,0.374198362881224,"RBP1",0
"OK",0,42.4557988240646,0.379374472365836,"TM4SF1",0
"OK",0,41.5124025286888,0.370865966674133,"HES1",0
"OK",0,50.7462291441843,0.452487098169367,"APOD",0
"OK",0,38.6836186430311,0.345440453468205,"SPON2",0
"OK",0,61.3568609579657,0.548513149897651,"SOD3",0
"OK",0,52.2563811999012,0.465625376743786,"IGFBP7",0
"OK",0,46.207960360281,0.4116633991285,"SPARCL1",0
"OK",0,46.0476061212363,0.402696272184025,"RPL34",0
"OK",0,44.1369161277823,0.394447409742452,"SYNPO2",0
"OK",0,41.0187749791857,0.366541318403809,"CPE",0
"OK",0,49.1267755459627,0.439075958506562,"PALLD",0
"OK",0,77.5191594309557,0.693150257540586,"SORBS2",0
"OK",0,73.9988529201409,0.661521625622934,"CD74",0
"OK",0,41.2740874500346,0.368785711670654,"PDLIM7",0
"OK",0,72.3996024613637,0.646823813568306,"HLA-DRA",0
"OK",0,69.5381132650412,0.621246278781423,"HLA-DRB1",0
"OK",0,65.7884562232565,0.587570707218,"HLA-DPA1",0
"OK",0,39.357100627894,0.3513045035341,"HLA-DPB1",0
"OK",0,60.0240384182895,0.529940754594704,"RPS18",0
"OK",0,50.9099136940252,0.454939198102932,"CDKN1A",0
"OK",0,45.4342889757367,0.405855897828149,"EEF1A1",0
"OK",0,61.9749638276999,0.55407647540229,"PLN",0
"OK",0,53.2278087100398,0.475451019772438,"RSPO3",0
"OK",0,40.0787446089395,0.353273077336823,"RPS12",0
"OK",0,38.5375813099398,0.344234855222757,"SFRP4",0
"OK",0,43.2565331969668,0.386461529486161,"CAV1",0
"OK",0,60.5328519739132,0.540584399878146,"CALD1",0
"OK",0,41.1466663752616,0.367652943687069,"INSIG1",0
"OK",0,44.1456448032044,0.390009045075402,"TMSB4X",0
"OK",0,41.6396161229994,0.372062485702975,"AP1S2",0
"OK",0,48.0355038686786,0.428918903450468,"ITM2A",0
"OK",0,39.2194301314504,0.350418677909989,"TCEAL4",0
"OK",0,45.9812156084365,0.410881656096133,"FHL1",0
"OK",0,58.4634973752546,0.522665756598866,"BGN",0
"OK",0,47.9845645963352,0.428750250619335,"FLNA",0
"OK",0,60.8518457158903,0.543763175693192,"RPL10",0
"OK",0,46.1689623089284,0.411713480558392,"SOX17",0
"OK",0,40.3070853496509,0.36016954602543,"GEM",0
"OK",0,57.0637742529405,0.509899934865889,"NOV",0
"OK",0,43.7189845460468,0.390547561723909,"DNAJA1",0
"OK",0,54.0090809410864,0.481870014682406,"TPM2",0
"OK",0,38.5922786339044,0.344605768593309,"NTRK2",0
"OK",0,51.7669724054669,0.462685422213376,"KLF4",0
"OK",0,46.6963718366394,0.412814602463842,"RPL12",0
"OK",0,61.8962623623731,0.552645422483187,"EGFL7",0
"OK",0,39.7853674825678,0.355352211607415,"PTGDS",0
"OK",0,48.1550228320758,0.430234533758987,"IFITM1",0
"OK",0,40.0144696235928,0.35754410015638,"ILK",0
"OK",0,48.8779313492203,0.436085350820594,"MTRNR2L8",0
"OK",0,45.1284054796278,0.403154881464219,"C11orf96",0
"OK",0,40.9674120386394,0.366021719643694,"MDK",0
"OK",0,45.0665229989728,0.402725874441918,"CRYAB",0
"OK",0,46.5100170891091,0.414428557058453,"TAGLN",0
